model_analyzed,command,hardware,purpose,result,status,issue_number,issue_title
nvidia/Llama-3.1-405B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7 python3 -m sglang.launch_server --model-path meta-llama/Meta-Llama-3.1-405B-Instruct-FP8 --tp 8 --mem-fraction-static 0.8 --port 8001",8x NVIDIA A100-SXM4-80GB,Benchmark performance of a local live server using batch requests via a Python script to compare against the offline engine.,Working. Achieved approximately 279.16 to 340.79 tokens per second for a batch of 500 requests. Total time ranged from 143.36 to 176.35 seconds.,working,https://github.com/sgl-project/sglang/issues/1872,[Bug] Offline engine performance is not better than local server when running batch
nvidia/Llama-3.1-405B-Instruct-FP8,"sglang.Engine(model_path=""meta-llama/Meta-Llama-3.1-405B-Instruct-FP8"", mem_fraction_static=0.8, tp_size=8)",8x NVIDIA A100-SXM4-80GB,Benchmark performance of the SGLang offline engine (Engine.generate) for batch processing.,"Working. Achieved 281.67 tokens per second for 500 requests, with a total time of 177.41 seconds. The user observed that the offline engine was not faster than the online server in this specific test case.",working,https://github.com/sgl-project/sglang/issues/1872,[Bug] Offline engine performance is not better than local server when running batch
nvidia/Llama-3.1-405B-Instruct-FP8,python -m sglang.launch_server --model-path nvidia/Llama-3.1-405B-Instruct-FP4 --mem-fraction 0.8 --cuda-graph-max-bs 512 --tp 8 --attention-backend flashinfer --quantization modelopt_fp4 --kv-cache-dtype fp8_e4m3 --trust-remote-code --load-format dummy --enable-cudagraph-gc,Not explicitly stated (likely 8x GPU setup based on --tp 8),"Benchmarking serving throughput for Llama-3.1-405B variant with Python's Garbage Collector frozen during graph capture, using the --enable-cudagraph-gc flag.",Working well. Achieved 15.41 req/s and 1960.25 total tok/s. This configuration served as the baseline for demonstrating that freezing GC followed by a forced collect improves performance.,working,https://github.com/sgl-project/sglang/pull/10621,Garbage collector regression in the online server
nvidia/Llama-3.1-405B-Instruct-FP8,python -m sglang.launch_server --model-path nvidia/Llama-3.1-405B-Instruct-FP4 --mem-fraction 0.8 --cuda-graph-max-bs 512 --tp 8 --attention-backend flashinfer --quantization modelopt_fp4 --kv-cache-dtype fp8_e4m3 --trust-remote-code --load-format dummy,Not explicitly stated (likely 8x GPU setup based on --tp 8),Benchmarking serving throughput for Llama-3.1-405B variant without the explicit --enable-cudagraph-gc optimization to measure the impact of GC behavior on regression.,"Working but slower. Achieved 14.96 req/s and 1902.39 total tok/s, representing a ~2.95% drop in throughput compared to the optimized version.",working,https://github.com/sgl-project/sglang/pull/10621,Garbage collector regression in the online server
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.bench_serving --backend sglang --dataset-name random --random-input-len 128 --random-output-len 128 --num-prompts 1024 --max-concurrency 256 --flush-cache,,Load testing the running server with a specific concurrency (256) and prompt count (1024) to measure serving metrics like TTFT and ITL.,Provided detailed benchmark results showing metrics such as Mean TTFT (~1127-1217ms) and Mean ITL (~239-245ms).,working,https://github.com/sgl-project/sglang/pull/10621,Garbage collector regression in the online server
nvidia/Llama-3.1-405B-Instruct-FP8,"python -m sglang.launch_server --model-path /mnt/external-quantized-models/models/nvidia__Llama-3.1-405B-Instruct-FP4 --mem-fraction 0.8 --cuda-graph-max-bs 4 --tp 8 --attention-backend flashinfer --quantization modelopt_fp4 --model-loader-extra-config '{""enable_multithread_load"": true, ""num_threads"": 8}' --trust-remote-code",8x NVIDIA B200,Reproduction of accuracy issues using Flashinfer backend with FP4 quantization on Blackwell architecture.,BROKEN: Output is garbled (unreadable text). GSM8K accuracy is extremely low at 0.015. Issue traced to Flashinfer decode backend and incorrect KV cache dtype (NVFP4 instead of FP8).,broken,https://github.com/sgl-project/sglang/issues/10284,[Bug] FP4 accuracy issue with B200 + Flashinfer
nvidia/Llama-3.1-405B-Instruct-FP8,"python -m sglang.launch_server --model-path /mnt/external-quantized-models/models/nvidia__Llama-3.1-405B-Instruct-FP4 --mem-fraction 0.8 --cuda-graph-max-bs 4 --tp 8 --attention-backend triton --quantization modelopt_fp4 --model-loader-extra-config '{""enable_multithread_load"": true, ""num_threads"": 8}' --trust-remote-code",8x NVIDIA B200,Comparative test using Triton attention backend to verify if the FP4 accuracy issue is specific to Flashinfer.,working: Output is coherent and correct. GSM8K accuracy is 0.970. Confirms the issue lies with the Flashinfer backend implementation for this model/quantization.,working,https://github.com/sgl-project/sglang/issues/10284,[Bug] FP4 accuracy issue with B200 + Flashinfer
nvidia/Llama-3.1-405B-Instruct-FP8,"python -m sglang.launch_server --model-path /mnt/external-quantized-models/models/nvidia__Llama-3.1-405B-Instruct-FP4 --mem-fraction 0.8 --cuda-graph-max-bs 4 --tp 8 --prefill-attention-backend triton --decode-attention-backend flashinfer --quantization modelopt_fp4 --model-loader-extra-config '{""enable_multithread_load"": true, ""num_threads"": 8}' --trust-remote-code",8x NVIDIA B200,Hybrid backend testing to isolate whether the accuracy bug occurs during the prefill or decode phase.,broken: Output is bad. Confirmed that the issue occurs when Flashinfer is used for the decode phase.,broken,https://github.com/sgl-project/sglang/issues/10284,[Bug] FP4 accuracy issue with B200 + Flashinfer
nvidia/Llama-3.1-405B-Instruct-FP8,"python -m sglang.launch_server --model-path /mnt/external-quantized-models/models/nvidia__Llama-3.1-405B-Instruct-FP4 --mem-fraction 0.8 --cuda-graph-max-bs 4 --tp 8 --prefill-attention-backend flashinfer --decode-attention-backend triton --quantization modelopt_fp4 --model-loader-extra-config '{""enable_multithread_load"": true, ""num_threads"": 8}' --trust-remote-code",8x NVIDIA B200,Hybrid backend testing to isolate whether the accuracy bug occurs during the prefill or decode phase.,"working: Output is coherent. Confirms that Flashinfer works for prefill, but fails during decode for this specific configuration.",working,https://github.com/sgl-project/sglang/issues/10284,[Bug] FP4 accuracy issue with B200 + Flashinfer
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path neuralmagic/Meta-Llama-3.1-405B-Instruct-FP8 --tp 8 --disable-radix-cache --host 0.0.0.0 --port 9942 --log-level debug --file-storage-pth /home/dave.makhervaks/SGlang_storage --chunked-prefill-size 4096,8x NVIDIA A100-SXM4-80GB,Testing MMLU benchmark with chunked prefill and radix cache disabled.,BROKEN: Failed with RuntimeError: 'Failed to allocate memory for batch_prefill_tmp_v with size 450494464'. It seems to be caused by the combination of --disable-radix-cache and --chunked-prefill-size exceeding flashinfer_workspace_size.,broken,https://github.com/sgl-project/sglang/issues/1323,[Bug] RuntimeError in ModelTpServer
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path neuralmagic/Meta-Llama-3.1-405B-Instruct-FP8 --tp 8 --disable-radix-cache --host 0.0.0.0 --port 9942 --log-level debug --file-storage-pth /home/dave.makhervaks/SGlang_storage,8x NVIDIA A100-SXM4-80GB,Testing model with radix cache disabled to solve memory allocation issues.,BROKEN: Encountered the same RuntimeError in AlignedAllocator regarding batch_prefill_tmp_v allocation because chunked-prefill is enabled by default in sglang.,broken,https://github.com/sgl-project/sglang/issues/1323,[Bug] RuntimeError in ModelTpServer
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path neuralmagic/Meta-Llama-3.1-405B-Instruct-FP8 --tp 8 --disable-radix-cache --chunked-prefill-size -1 --host 0.0.0.0 --port 9942 --log-level debug --file-storage-pth /home/dave.makhervaks/SGlang_storage,8x NVIDIA A100-SXM4-80GB,Running with both radix cache and chunked prefill disabled to bypass memory allocation errors.,"Working, but accuracy issues identified. Achieved MMLU accuracy of ~0.86 (0-shot/5-shot) and GSM8K ~0.96 (8-shot). However, Hellaswag accuracy was very poor (~0.25-0.26), which was significantly lower than quoted results.",working,https://github.com/sgl-project/sglang/issues/1323,[Bug] RuntimeError in ModelTpServer
nvidia/Llama-3.1-405B-Instruct-FP8,python3 bench_sglang.py --host http://10.20.45.10 --port 9942 --num-shot 10 --num-questions 10042,8x NVIDIA A100-SXM4-80GB,Benchmarking Hellaswag performance on the 405B FP8 model.,Working but poor results: 'accuracy': 0.256. This was later identified as a bug in SGLang (fixed in version 0.3.1).,working,https://github.com/sgl-project/sglang/issues/1323,[Bug] RuntimeError in ModelTpServer
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model-path neuralmagic/Llama-3.1-Nemotron-70B-Instruct-HF-FP8-dynamic --quantization compressed-tensors --tp 8,8x NVIDIA H100 80GB HBM3,Reproduction of a bug where the 'compressed-tensors' quantization format used by llm-compressor/AutoFP8 is not supported by sglang.,"Failed with a bug indicating that the 'compressed-tensors' format is not supported directly, preventing the model from loading/running.",broken,https://github.com/sgl-project/sglang/issues/2871,[Bug] compressed-tensors format not supported
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model-path nvidia/Llama-3.1-70B-Instruct-FP8 --host 0.0.0.0 --port 8888 --trust-remote-code --tp 4 --cuda-graph-max-bs 32 --mem-fraction-static 0.8,4xNVIDIA B200 (Compute Capability: 10.0),Attempting to launch an SGLang server on a B200 node using the specified FP8 model.,BROKEN: Failed with a RuntimeError during CUDA graph capture. Specifically: 'CUDA error: operation failed due to a previous error during capture'. The error originated within the FlashInfer backend's decode wrapper.,broken,https://github.com/sgl-project/sglang/issues/8826,[Bug] Unable to Launch A Server on B200
nvidia/Llama-3.1-70B-Instruct-FP8,python -m sglang.launch_server --model-path NousResearch/Meta-Llama-3.1-70B-Instruct --tokenizer-path NousResearch/Meta-Llama-3.1-70B-Instruct --tokenizer-mode auto --quantization fp8 --host 0.0.0.0 --port 8000 --mem-fraction-static 0.87 --chunked-prefill-size 8192 --max-prefill-tokens 16384 --tp-size 2 --attention-backend flashinfer --sampling-backend flashinfer,"2xH100, 4xA100",Attempting to run Llama 3.1 70B FP8 inference on RunPod using the sglang engine via the TrelisResearch one-click-llms template.,"Broken. Server logs showed initialization and weight loading begin, but the user could not access the API (Connection refused/502 Bad Gateway). A contributor suggested the download might not have completed or disk space (originally 200GB) was insufficient for the weights.",broken,https://github.com/sgl-project/sglang/issues/1610,[Bug] Can't access one click llms on runpod
nvidia/Llama-3.1-70B-Instruct-FP8,python -m sglang.launch_server --model-path nvidia/Llama-3.1-70B-Instruct-FP8 --tp 2 --quantization fp8 --chunked-prefill-size 2048,Mentioned in context of A30/H100 usage,Testing 'Meta-Llama-3.1-70B-Instruct' with FP8 quantization under high concurrency/RPS to resolve sampling errors.,"Working. The user reported that 'When I add --chunked-prefill-size 2048, there is no error', effectively bypassing the 'NaN in the probability' sampling error observed at high load.",working,https://github.com/sgl-project/sglang/issues/1571,"[Bug] `Meta-Llama-3.1-8B-Instruct` triggers ""Detected errors during sampling! NaN in the probability."" under high concurrency/RPS."
nvidia/Llama-3.1-70B-Instruct-FP8,python -m sglang.launch_server --model-path nvidia/Llama-3.1-70B-Instruct-FP8 --tp 2 --quantization fp8,Mentioned in context of A30/H100 usage,Running 'Meta-Llama-3.1-70B-Instruct' with FP8 quantization under high concurrency.,Broken. Triggers 'Detected errors during sampling! NaN in the probability' under high RPS/concurrency.,broken,https://github.com/sgl-project/sglang/issues/1571,"[Bug] `Meta-Llama-3.1-8B-Instruct` triggers ""Detected errors during sampling! NaN in the probability."" under high concurrency/RPS."
nvidia/Llama-3.1-70B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=2,3 python -m sglang.launch_server --model-path NousResearch/Meta-Llama-3.1-70B-Instruct --port 30003 --tp 2 --mem-fraction-static 0.93 --quantization fp8 --host 0.0.0.0 --context-length 2560 --max-num-reqs 15 --chunked-prefill-size 8192 --enable-torch-compile",2x H100 80GB (from a system with 8xH100),Testing the --enable-torch-compile flag with an FP8 quantized Llama 3.1 70B model.,"Failed with Exception: Capture cuda graph failed. Error: ""_local_scalar_dense_cuda"" not implemented for 'Float8_e4m3fn'. This occurred because torch.compile (at the time of the issue on Torch 2.4) did not support FP8.",broken,https://github.com/sgl-project/sglang/issues/1196,[Bug] enable-torch-compile error
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model=nvidia/Llama-3.1-70B-Instruct-FP8 --tp=8 --dp=1 --trust-remote-code --enable-torch-compile --enable-flashinfer-mla,8x NVIDIA H100 80GB HBM3,Initial attempt to run the FP8 quantized Llama 3.1 70B model with MLA and torch-compile enabled.,"BROKEN: Failed with `KeyError: 'model.layers.78.mlp.gate_up_proj.input_scale'`. Note: --enable-flashinfer-mla is intended for DeepSeek models, not Llama.",broken,https://github.com/sgl-project/sglang/issues/5095,[Bug] KeyError when running nvidia/Llama-3.1-70B-Instruct-FP8
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model=nvidia/Llama-3.1-70B-Instruct-FP8 --tp=8 --attention-backend=fa3 --trust-remote-code --enable-torch-compile,8x NVIDIA H100 80GB HBM3,Second attempt after removing the MLA flag and switching to the FA3 attention backend to resolve startup errors.,BROKEN: Still encountered `KeyError: 'model.layers.55.mlp.gate_up_proj.input_scale'` during weight loading.,broken,https://github.com/sgl-project/sglang/issues/5095,[Bug] KeyError when running nvidia/Llama-3.1-70B-Instruct-FP8
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model=nvidia/Llama-3.1-70B-Instruct-FP8 --tp=8 --attention-backend=fa3 --trust-remote-code --enable-torch-compile --quantization modelopt --context-length 8192,8x NVIDIA H100 80GB HBM3,Final recommended configuration to fix the KeyError by explicitly setting the quantization flag for the NVIDIA Modelopt format.,WORKING: Setting `--quantization modelopt` resolved the KeyError. Note that checkpoint loading is relatively slow due to the model's non-fused MLP format.,working,https://github.com/sgl-project/sglang/issues/5095,[Bug] KeyError when running nvidia/Llama-3.1-70B-Instruct-FP8
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model-path Meta-Llama-3.1-70B-Instruct --tp 8 --disable-radix-cache --host 0.0.0.0 --port 9942 --log-level debug --file-storage-pth /home/dave.makhervaks/SGLang_storage --chunked-prefill-size 4096,8x NVIDIA A100-SXM4-80GB,Debug a RuntimeError (Failed to allocate memory for batch_prefill_tmp_v) occurring during MMLU benchmarks.,Failure: 'RuntimeError: Failed to allocate memory for batch_prefill_tmp_v with size 450494464 and alignment 16 in AlignedAllocator'. Likely caused by the combination of --disable-radix-cache and --chunked-prefill-size exceeding flashinfer_workspace_size.,broken,https://github.com/sgl-project/sglang/issues/1323,[Bug] RuntimeError in ModelTpServer
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model-path Meta-Llama-3.1-70B-Instruct --tp 8 --disable-radix-cache --host 0.0.0.0 --port 9942 --log-level debug --file-storage-pth /home/dave.makhervaks/SGLang_storage,8x NVIDIA A100-SXM4-80GB,Attempt to resolve the flashinfer memory allocation error by removing the explicit chunked-prefill-size parameter.,Failure: Still encountered the same memory allocation error because SGLang enables chunked-prefill by default when radix cache is disabled.,broken,https://github.com/sgl-project/sglang/issues/1323,[Bug] RuntimeError in ModelTpServer
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model-path Meta-Llama-3.1-405B-Instruct-FP8 --tp 8 --disable-radix-cache --host 0.0.0.0 --port 9942 --log-level debug --file-storage-pth /home/dave.makhervaks/SGLang_storage --chunked-prefill-size -1,8x NVIDIA A100-SXM4-80GB,Avoid the flashinfer memory allocation error by explicitly disabling chunked prefill while using --disable-radix-cache.,"Working: Server started successfully. However, subsequent Hellaswag benchmarks yielded very poor accuracy (0.252-0.264), which was later identified as a bug fixed in sglang v0.3.1.",working,https://github.com/sgl-project/sglang/issues/1323,[Bug] RuntimeError in ModelTpServer
nvidia/Llama-3.1-70B-Instruct-FP8,python3 -m sglang.launch_server --model-path neuralmagic/Meta-Llama-3.1-70B-Instruct-FP8 --port 8000 --host 0.0.0.0 --tensor-parallel-size 8 --trust-remote-code --mem-fraction-static 0.8 --max-running-requests 128 --speculative-algo EAGLE --speculative-draft lmzheng/sglang-EAGLE-LLaMA3-Instruct-8B --speculative-num-steps 2 --speculative-eagle-topk 4 --speculative-num-draft-tokens 4,8x NVIDIA H200,Testing speculative decoding using EAGLE with an FP8 target model (Meta-Llama-3.1-70B-Instruct-FP8) and a BF16 draft model (sglang-EAGLE-LLaMA3-Instruct-8B).,BROKEN: Failed with a dtype mismatch error during CUDA graph capture in the EAGLE worker. Traceback indicates an exception in `eagle_draft_cuda_graph_runner.py` at `self.model_runner.model.forward`. A maintainer confirmed that mixing an FP8 target model with a BF16 draft model is currently not supported for EAGLE.,broken,https://github.com/sgl-project/sglang/issues/3824,[Bug] Use of bf16 draft model for fp8 model speculation
nvidia/Llama-3.1-70B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=2,3 python -m sglang.launch_server --model-path NousResearch/Hermes-3-Llama-3.1-70B-FP8 --port 30003 --tp 2 --mem-fraction-static 0.90 --host 0.0.0.0 --context-length 2048",2xH100 80GB (from a system with 8xH100),Testing a pre-quantized FP8 version of Llama-3.1-70B (Hermes-3) at high RPS (5.5) and high concurrent requests (#running-req: 136).,GOOD OUTPUTS. Performance was stable even at high concurrency (136 running requests) with the pre-quantized model.,working,https://github.com/sgl-project/sglang/issues/1195,[Bug] Bad outputs with fp8 quantization at high RPS
nvidia/Llama-3.1-70B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=2,3 python -m sglang.launch_server --model-path NousResearch/Meta-Llama-3.1-70B-Instruct --port 30003 --tp 2 --mem-fraction-static 0.90 --host 0.0.0.0 --context-length 2048 --quantization fp8",2xH100 80GB (from a system with 8xH100),Running RPS benchmark on unquantized Llama-3.1-70B with on-the-fly FP8 quantization.,BAD OUTPUTS @ 5.5rps. Large number of concurrent requests (running-req: 137) resulted in gibberish/repetitive Chinese characters in the output.,broken,https://github.com/sgl-project/sglang/issues/1195,[Bug] Bad outputs with fp8 quantization at high RPS
nvidia/Llama-3.1-70B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=2,3 python -m sglang.launch_server --model-path NousResearch/Meta-Llama-3.1-70B-Instruct --port 30003 --tp 2 --mem-fraction-static 0.90 --host 0.0.0.0 --context-length 2048 --quantization fp8 --max-num-reqs 10",2xH100 80GB (from a system with 8xH100),Debugging bad outputs by limiting the maximum number of concurrent requests to 10 using the --max-num-reqs flag.,GOOD OUTPUTS @ 5.5 RPS. Limiting concurrency resolved the output corruption issue seen at higher request counts.,working,https://github.com/sgl-project/sglang/issues/1195,[Bug] Bad outputs with fp8 quantization at high RPS
nvidia/Llama-3.1-70B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=2,3 python -m sglang.launch_server --model-path NousResearch/Hermes-3-Llama-3.1-70B --port 30003 --tp 2 --mem-fraction-static 0.90 --host 0.0.0.0 --context-length 2048 --quantization fp8",2xH100 80GB (from a system with 8xH100),Testing Hermes-3 variant of Llama-3.1-70B with on-the-fly FP8 quantization at 5.5 RPS.,BAD OUTPUTS @ 5.5rps. Output corruption occurred with high concurrency (running-req: 135).,broken,https://github.com/sgl-project/sglang/issues/1195,[Bug] Bad outputs with fp8 quantization at high RPS
nvidia/Llama-3.1-70B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=2,3 python -m sglang.launch_server --model-path NousResearch/Hermes-3-Llama-3.1-70B --port 30003 --tp 2 --mem-fraction-static 0.90 --host 0.0.0.0 --context-length 2048 --quantization fp8 --max-num-reqs 10",2xH100 80GB (from a system with 8xH100),Testing Hermes-3 variant of Llama-3.1-70B with limited concurrency to verify if it resolves FP8 output corruption.,GOOD OUTPUTS @ 5.5 RPS. Output was correct when concurrency was capped at 8-10 requests.,working,https://github.com/sgl-project/sglang/issues/1195,[Bug] Bad outputs with fp8 quantization at high RPS
nvidia/Llama-3.1-8B-Instruct-FP8,python3 -m sglang.bench_one_batch --model-path nvidia/Llama-3.1-8B-Instruct-NVFP4 --quantization modelopt_fp4 --batch-size 1 --input-len 1024 --output-len 1024 --kv-cache-dtype nvfp4_e2m1,Mention of sm100 (Blackwell) in error logs,Reference testing command for evaluating the new NVFP4 KV cache implementation and its impact on performance and memory.,Extremely slow due to frequent dequantization from fp4 to bf16. Encountered a 'RuntimeError: [FP4 gemm Runner] Failed to initialize cutlass FP4 gemm on sm100' during execution.,broken,https://github.com/sgl-project/sglang/pull/15133,Add NVFP4-style KV Cache
nvidia/Llama-3.1-8B-Instruct-FP8,python test/srt/quant/test_modelopt_fp8.py,B100,"Automated testing for Nvidia-ModelOPT FP8 quantization, specifically validating Llama-3.1-8B-Instruct-FP8 accuracy on GSM8K and generation throughput.",Llama-3.1-8B-Instruct-FP8 achieved a GSM8K accuracy score relative to a 69% threshold (with 200 questions tested) and a generation speed of at least 120 tokens/s.,working,https://github.com/sgl-project/sglang/pull/12478,Add the Nvidia-ModelOPT FP8 & FP4 quantization test case
nvidia/Llama-3.1-8B-Instruct-FP8,python -m sglang.launch_server --model-path nvidia/Llama-3.1-8B-Instruct-FP8 --trust-remote-code --quantization modelopt,,Verifying that ModelOpt FP8 checkpoints can still be loaded correctly with the `--quantization modelopt` flag after changes to default quantization logic.,Working. The user confirmed the command works and that the system correctly identifies the FP8 quantization from hf_quant_config.json.,working,https://github.com/sgl-project/sglang/pull/11991,[NVIDIA] Change default quant method for model_opt
nvidia/Llama-3.1-8B-Instruct-FP8,python -m sglang.launch_server --model-path nvidia/Llama-3.1-8B-Instruct-FP8 --trust-remote-code --quantization modelopt_fp8,,Testing explicit quantization flag for ModelOpt FP8 checkpoints.,Working. The system correctly handles the explicit 'modelopt_fp8' quantization method.,working,https://github.com/sgl-project/sglang/pull/11991,[NVIDIA] Change default quant method for model_opt
nvidia/Llama-3.1-8B-Instruct-FP8,python3 -m sglang.launch_server --model-path nvidia/Llama-3.1-8B-Instruct-FP4 --trust-remote-code --quantization modelopt_fp4 --kv-cache-dtype fp8_e4m3,B200,Performance comparison between the original main branch and the PR fix for Llama 3.1 FP4 with FP8 KV cache.,Before fix: 244.20 token/s. After original PR + this fix: 287.12 token/s (1.783s latency for 512 tokens). Verified working with significant speedup.,working,https://github.com/sgl-project/sglang/pull/14553,Fix FP8 KV Triton type issue and add regression test
