model_analyzed,command,hardware,purpose,result,status,issue_number,issue_title
nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4,vllm serve nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8 --trust-remote-code --max-num-seqs 512 --mamba_ssm_cache_dtype float32,,Benchmark GSM8K performance on the FP8 variant of Nemotron-Nano-9B-v2 using vLLM.,GSM8K score: 0.892 ± 0.008.,working,https://github.com/sgl-project/sglang/pull/12018,Feature/nano v2 offline modelopt fp8 and nvfp4
nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4,"python -m lm_eval --model local-chat-completions --model_args ""model=nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8,base_url=http://localhost:8000/v1/chat/completions,api_key=EMPTY,num_concurrent=256,timeout=3600"" --tasks gsm8k --apply_chat_template --system_instruction ""/no_think"" --gen_kwargs temperature=0.6,top_p=0.95,do_sample=true,seed=1 --output_path ./results/$(date +%s) --log_samples",,Run lm-eval GSM8K benchmark against the launched model server to verify accuracy.,Produced benchmark results for comparison between SGLang and vLLM implementations.,working,https://github.com/sgl-project/sglang/pull/12018,Feature/nano v2 offline modelopt fp8 and nvfp4
nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4,python3 -m sglang.launch_server --model-path nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8 --max-mamba-cache-size 256,Mention of Blackwell GPU runner (4-gpu setup) and 1-gpu setups in comments,Serve the FP8 quantized version of Nemotron-Nano-9B-v2 using SGLang to benchmark performance against vLLM.,"Working. Achieved a GSM8K score of 0.881 ± 0.008, which is basically equivalent to vLLM's 0.892 ± 0.008.",working,https://github.com/sgl-project/sglang/pull/11866,Support nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8/NVFP4
nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4,vllm serve nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8 --trust-remote-code --max-num-seqs 512 --mamba_ssm_cache_dtype float32,Mention of Blackwell GPU runner in comments,Serve the FP8 quantized version of Nemotron-Nano-9B-v2 using vLLM for comparison benchmarking.,Working. Achieved a GSM8K score of 0.892 ± 0.008.,working,https://github.com/sgl-project/sglang/pull/11866,Support nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8/NVFP4
nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4,"python -m lm_eval --model local-chat-completions --model_args ""model=nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8,base_url=http://localhost:8000/v1/chat/completions,api_key=EMPTY,num_concurrent=256,timeout=3600"" --tasks gsm8k --apply_chat_template --system_instruction ""/no_think"" --gen_kwargs temperature=0.6,top_p=0.95,do_sample=true,seed=1 --output_path ./results/$(date +%s) --log_samples",,Run GSM8K accuracy evaluation using lm-evaluation-harness against the served model endpoint.,SGLang (FP8) score: 0.881 ± 0.008; NVFP4 variant score: 0.899 ± 0.008.,working,https://github.com/sgl-project/sglang/pull/11866,Support nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8/NVFP4
nvidia/Qwen2.5-VL-7B-Instruct-NVFP4,python3 -m sglang.launch_server --model-path /mnt/data/models/Qwen2.5-VL-7B-Instruct-NVFP4 --host 0.0.0.0 --port 30000 --disable-radix-cache --chunked-prefill-size 1024 --max-running-requests 20 --cuda-graph-max-bs 10 --max-total-tokens 32000 --mem-fraction-static 0.75 --moe-runner-backend flashinfer_cutlass --quantization modelopt_fp4 --attention-backend triton,"Not explicitly stated (though log shows ~90GB available memory, suggesting A100/H100 class hardware)",Attempting to launch the Qwen2.5-VL-7B-Instruct-NVFP4 model with SGLang using FP4 quantization settings.,"BROKEN: Encountered an AssertionError during weight loading: `AssertionError: param_data.shape=torch.Size([1280, 640]), loaded_weight.shape=torch.Size([1280, 1280])`. The user suspects the vision module is being read incorrectly as FP8 instead of FP4, leading to a shape mismatch.",broken,https://github.com/sgl-project/sglang/issues/13821,[Feature] Does it support running VL models like Qwen3-VL with nvfp4 or other quantizations?
nvidia/Qwen3-30B-A3B-NVFP4,pytest test/registered/backends/test_qwen3_fp4_trtllm_gen_moe.py,nightly-1-gpu,Nightly CI test for nvidia/Qwen3-30B-A3B-NVFP4 using the TRT-LLM backend with FP4 MoE kernels.,Migration of the test file to a new directory structure; the test is registered in the CI suite 'nightly-1-gpu'. The PR description indicates this test covers the FP4 TRT-LLM gen MoE backend for Qwen3.,working,https://github.com/sgl-project/sglang/pull/15582,[CI] Migrate nightly tests to test/registered/
nvidia/Qwen3-30B-A3B-NVFP4,python3 -m sglang.launch_server --model-path Qwen/Qwen3-30B-A3B-FP8 --tp 2 --disable-radix-cache --kv-cache-dtype fp8_e4m3,B200,Accuracy and throughput testing for Qwen3-30B-FP8 on Blackwell architecture to verify the refactored deepgemm requantization logic.,"Working. Accuracy: 0.696, Invalid: 0.001, Latency: 56.326 s, Output throughput: 6606.698 token/s. Compared to 'Main' branch which failed with 0.000 accuracy and 100% invalid results.",working,https://github.com/sgl-project/sglang/pull/13601,[1/2] Refactor DeepGeem requant for FP8 Linear on Blackwell
nvidia/Qwen3-30B-A3B-NVFP4,python3 benchmark/gsm8k/bench_sglang.py --num-questions 2000 --parallel 2000 --num-shots 8 --port 30000,,Benchmark GSM8K accuracy and throughput using the Cutlass FP4 MoE backend (Before state).,"Accuracy: 0.907, Latency: 178.658 s, Output throughput: 958.693 token/s.",working,https://github.com/sgl-project/sglang/pull/13556,[NVIDIA] Enable trtllm fp4 moe for qwen
nvidia/Qwen3-30B-A3B-NVFP4,python3 benchmark/gsm8k/bench_sglang.py --num-questions 2000 --parallel 2000 --num-shots 8 --port 30000,,Benchmark GSM8K accuracy and throughput using the FlashInfer TRT-LLM FP4 MoE backend (After state).,"Accuracy: 0.900, Latency: 162.700 s, Output throughput: 1035.904 token/s. Performance improved by ~8%.",working,https://github.com/sgl-project/sglang/pull/13556,[NVIDIA] Enable trtllm fp4 moe for qwen
nvidia/Qwen3-30B-A3B-NVFP4,python3 -m sglang.launch_server --model-path nvidia/Qwen3-30B-A3B-NVFP4 --trust-remote-code --disable-radix-cache --max-running-requests 256 --chunked-prefill-size 1024 --mem-fraction-static 0.89 --max-prefill-tokens 16384 --quantization modelopt_fp4,,Launch server with Cutlass FP4 MoE backend for testing and benchmarking.,Served as the baseline for performance comparison.,working,https://github.com/sgl-project/sglang/pull/13556,[NVIDIA] Enable trtllm fp4 moe for qwen
nvidia/Qwen3-30B-A3B-NVFP4,python3 -m sglang.launch_server --model-path nvidia/Qwen3-30B-A3B-NVFP4 --trust-remote-code --disable-radix-cache --max-running-requests 256 --chunked-prefill-size 1024 --mem-fraction-static 0.89 --max-prefill-tokens 16384 --quantization modelopt_fp4 --moe-runner-backend flashinfer_trtllm,,Launch server with the newly enabled FlashInfer TRT-LLM FP4 MoE backend.,"Functional, providing higher throughput compared to Cutlass backend.",working,https://github.com/sgl-project/sglang/pull/13556,[NVIDIA] Enable trtllm fp4 moe for qwen
nvidia/Qwen3-30B-A3B-NVFP4,SGL_ENABLE_JIT_DEEPGEMM=false /opt/conda310/bin/python -m sglang.launch_server --model-path /workspace/Qwen3-30B-A3B-NVFP4 --moe-runner-backend flashinfer_trtllm --quantization modelopt_fp4 --trust-remote-code --disable-radix-cache --port 6677 --mem-fraction-static 0.89 --max-running-requests 1024 --chunked-prefill-size 16384 --max-prefill-tokens 16384 --attention-backend trtllm_mha,GB200,Test SGLang v0.5.6 on the GB200 platform with the FlashInfer TRT-LLM MoE and MHA backend.,FAILED: The model produced corrupted/incorrect output (garbled characters/tokens like ''). User reported an e2e_latency of 0.20s for 32 tokens but wrong answers.,broken,https://github.com/sgl-project/sglang/pull/13556,[NVIDIA] Enable trtllm fp4 moe for qwen
nvidia/Qwen3-30B-A3B-NVFP4,python -m sglang.launch_server --model-path nvidia/Qwen3-30B-A3B-NVFP4 --moe-runner-backend flashinfer_trtllm --quantization modelopt_fp4 --trust-remote-code,,Verify fix for corrupted output issues on the tip of the main branch.,"Working. Successfully generated clear, coherent text (FastAPI code example) during testing with `sglang.test.send_one`.",working,https://github.com/sgl-project/sglang/pull/13556,[NVIDIA] Enable trtllm fp4 moe for qwen
nvidia/Qwen3-32B-NVFP4,"import sglang as sgl
if __name__ == '__main__':
  llm = sgl.Engine(model_path=""RedHatAI/Qwen3-32B-NVFP4A16"",trust_remote_code=True)

  prompts = [
    ""Hello, my name is"",
    ""The president of the United States is"",
    ""The capital of France is"",
    ""The future of AI is"",
  ]

  sampling_params = {""temperature"": 0.8, ""top_p"": 0.95}

  outputs = llm.generate(prompts, sampling_params)
  for prompt, output in zip(prompts, outputs):
    print(""==============================="")
    print(f""Prompt: {prompt}\nGenerated text: {output['text']}"")",Not specified (implies Blackwell/NVFP4 compatible hardware),Testing the local loading and inference of the nvfp4 (w4a16) quantized Qwen 3 model using the sglang Engine API to verify the implementation of the new quantization support.,Success. The model loaded properly and produced correct output results according to the author's local testing.,working,https://github.com/sgl-project/sglang/pull/8574,[feat] Support nvfp4 (w4a16fp4) quantization method
